0 1.595000
23 25.052000
46 129.044006
69 1191.725952
92 1262.946045
115 1432.269043
138 1527.650024
161 1635.787964
184 1869.211060
207 1962.949951
230 3.124000
253 60.692001
276 107.440002
299 412.450989
322 495.915985
345 603.880981
368 770.294006
391 1084.484009
414 1209.677979
437 1314.442017
460 1435.734009
483 1710.980957
506 2004.163940
529 2284.930908
552 2340.552002
575 2455.774902
598 2728.950928
621 2874.644043
644 3030.822021
667 3210.413086
690 3348.579102
713 3504.450928
736 3675.350098
759 3770.247070
782 3918.094971
805 4099.915039
828 264.828003
851 440.915985
874 567.413025
897 762.044006
920 1055.249023
943 1212.892944
966 1315.767944
989 1406.375000
1012 1507.381958
1035 1617.291016
1058 1810.439941
1081 2033.102051
1104 2231.385986
1127 2340.554932
1150 2447.874023
1173 2711.714111
1196 2765.477051
1219 2878.941895
1242 3052.728027
1265 3164.754883
1288 52.362999
1311 4.163000
1334 259.795013
1357 355.325012
1380 530.940002
1403 695.922974
1426 831.281006
1449 968.950989
1472 1242.454956
1495 77.890999
1518 278.153992
