0 0.000000
24 25.052000
48 107.703995
72 1061.129028
96 78.990967
120 167.130981
144 93.597046
168 205.621948
192 187.190063
216 51.276978
240 13.623000
264 66.613998
288 179.675995
312 169.763000
336 163.696991
360 155.892029
384 324.372925
408 135.119019
432 105.685059
456 121.291992
480 275.241943
504 293.187988
528 280.766968
552 55.621094
576 115.222900
600 273.176025
624 145.695068
648 158.531982
672 180.247070
696 143.166992
720 152.592041
744 178.559814
768 114.194092
792 173.894043
816 75.085999
840 256.450989
864 208.265991
888 168.061035
912 143.213989
936 288.240967
960 137.984009
984 103.398071
1008 102.524902
1032 89.210083
1056 157.093994
1080 284.803955
1104 215.585938
1128 110.635010
1152 113.470947
1176 266.026123
1200 57.271973
1224 217.049072
1248 140.906982
1272 0.000000
1296 184.651001
1320 116.742996
1344 203.961990
1368 145.428009
1392 106.809998
1416 233.158997
1440 136.290039
