0 29.000000 5.987000
 1 0.459114 5.987000
 2 0.452089 5.973000
 3 0.468776 5.888000
 4 0.458819 5.888000
 5 0.476203 1.477000
 6 0.491856 1.378000
 7 0.486013 1.378000
 8 0.527930 1.364000
 9 0.480506 0.946000
 10 0.493523 0.946000
 11 0.474557 0.946000
 12 0.479620 0.198000
 13 0.481350 0.137000
 14 0.505125 0.099000
 15 0.480273 0.099000
 16 0.500758 0.096000
 17 0.461794 0.096000
 18 0.466498 0.060000
 19 0.476667 0.060000
 20 0.477510 0.060000
 21 0.474093 0.060000
 22 0.474283 0.060000
 23 0.489345 0.000000
 24 0.495653 0.000000
 25 1.036089 0.014000
 26 1.050434 0.000000
 27 1.042058 142.860001
 28 1.102393 74.775002
 29 1.164816 44.388000
 30 1.156314 44.303001
 31 1.154311 44.303001
 32 1.138404 44.303001
 33 1.152412 44.303001
 34 1.170281 24.400999
 35 1.166462 24.400999
 36 1.204076 24.326000
 37 1.214666 24.320999
 38 1.185997 24.320999
 39 1.207831 24.320999
 40 1.189414 24.266001
 41 1.212092 24.266001
 42 1.195109 24.252001
 43 1.183781 24.252001
 44 1.219476 24.065001
 45 1.173149 24.065001
 46 1.219876 23.941000
 47 1.207219 23.922001
 48 1.209709 11.836000
 49 1.249179 0.000000
 50 1.271941 337.334015
 51 1.244178 337.292999
 52 1.262153 337.233002
 53 1.268165 337.125000
 54 1.232787 337.080994
 55 1.267786 333.472992
 56 1.245213 333.093994
 57 1.238062 332.582001
 58 1.240446 332.582001
 59 1.259094 332.579010
 60 1.265823 332.557007
 61 1.259052 332.554993
 62 1.255318 332.554993
 63 1.256520 332.505005
 64 1.252280 332.411987
 65 1.265085 332.062012
 66 1.237892 331.929993
 67 1.262806 314.528015
 68 1.260127 314.526001
 69 1.281667 314.454010
 70 1.238736 314.454010
 71 1.262216 314.454010
 72 1.262764 314.454010
 73 1.282637 314.454010
 74 1.276772 314.454010
 75 1.269346 314.454010
 76 1.271477 314.454010
 77 1.275527 314.454010
 78 1.252238 314.313995
 79 1.277785 314.308014
 80 1.286793 314.306000
 81 1.271858 314.306000
 82 1.284768 314.306000
 83 1.270782 314.231995
 84 1.228189 295.415985
 85 1.224412 281.487000
 86 1.247006 214.794006
 87 1.229264 149.192993
 88 1.256098 83.514999
 89 1.247512 83.514999
 90 1.213252 83.514999
 91 1.049357 83.514999
 92 1.041003 83.464996
 93 1.063935 83.464996
 94 1.060538 83.464996
 95 1.068070 83.464996
